,mean_f1,std_f1
MLP,0.9650986740672216,0.006289601827468596
Stacking,0.9598418961417335,0.00591276375556895
SVM_Linear,0.9555093397037346,0.009069645378617264
Voting_LR_XGB,0.9436965193058366,0.01501089918422326
RandomForest,0.9370890166523355,0.009403751233525244
XGBoost,0.9338835222773663,0.01736984729115369
SVM_RBF,0.9322184237015675,0.015762367878874216
LightGBM,0.9286702033598585,0.013415802875347929
KNeighbors,0.9167591192650721,0.010202700885145542
LogisticRegression,0.9048823273087635,0.020856752201198227
MultinomialNB,0.8463095826635749,0.02075050203279895
